epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.988,2.50697,4.23958,2.49081,0.00359,0.475,0.04411,0.01036,2.21549,4.48124,2.90105,1.111e-05,1.111e-05,1.111e-05
2,254.026,2.56224,4.06262,2.64432,0.00371,0.495,0.04566,0.01092,2.22311,4.47992,2.87218,3.3e-05,3.3e-05,3.3e-05
3,330.974,2.60677,4.20929,2.73667,0.00395,0.515,0.03655,0.01005,2.13606,4.44694,2.75829,5.44501e-05,5.44501e-05,5.44501e-05
4,402.289,2.16655,4.01475,2.25822,0.00391,0.52,0.06071,0.01942,2.01956,4.39034,2.61875,7.54602e-05,7.54602e-05,7.54602e-05
5,496.318,2.22137,3.96092,2.25309,0.00481,0.725,0.07697,0.02906,1.9223,4.27121,2.46614,9.60304e-05,9.60304e-05,9.60304e-05
6,572.763,1.84649,3.89802,1.99061,0.00499,0.75,0.10286,0.05076,1.71377,4.20024,2.22486,0.000116161,0.000116161,0.000116161
7,649.379,1.7187,3.69884,1.86545,0.00517,0.815,0.15156,0.08614,1.56263,4.11379,2.05857,0.000135851,0.000135851,0.000135851
8,720.557,1.62401,3.60667,1.77819,0.00446,0.795,0.21137,0.10095,1.55455,4.02366,1.94301,0.000155101,0.000155101,0.000155101
9,780.346,1.61852,3.4534,1.79382,0.00444,0.795,0.2548,0.11459,1.55757,3.95364,1.89357,0.000173911,0.000173911,0.000173911
10,845.293,1.46546,3.36329,1.64183,0.00481,0.815,0.29699,0.1345,1.52415,3.90943,1.86328,0.000192282,0.000192282,0.000192282
11,912.094,1.60968,3.15894,1.74977,0.00487,0.815,0.26269,0.14548,1.49511,3.89084,1.82567,0.000210212,0.000210212,0.000210212
12,992.175,1.50886,3.13514,1.80702,0.00492,0.815,0.25197,0.14124,1.49935,3.85932,1.82769,0.000227703,0.000227703,0.000227703
13,1065.12,1.50958,2.85532,1.6994,0.00487,0.815,0.23581,0.11905,1.47773,3.80239,1.81579,0.000244753,0.000244753,0.000244753
14,1134.59,1.48486,2.84077,1.66779,0.00493,0.845,0.28346,0.13547,1.47431,3.74397,1.81274,0.000261364,0.000261364,0.000261364
15,1195.04,1.56879,2.90369,1.76541,0.00548,0.89,0.30253,0.13357,1.52105,3.65986,1.84874,0.000277534,0.000277534,0.000277534
16,1255.57,1.48476,2.49219,1.65605,0.00598,0.905,0.30749,0.13241,1.55568,3.55387,1.86116,0.000293265,0.000293265,0.000293265
17,1312.07,1.34649,2.47471,1.54765,0.12668,0.61,0.34207,0.15396,1.55767,3.47425,1.86943,0.000308556,0.000308556,0.000308556
18,1369.49,1.32563,2.48471,1.55019,0.0777,0.635,0.38143,0.19755,1.51987,3.51537,1.8698,0.000323407,0.000323407,0.000323407
19,1428.79,1.27903,2.38944,1.55823,0.00629,0.88,0.39911,0.20311,1.49562,3.51028,1.83968,0.000337817,0.000337817,0.000337817
20,1489.42,1.38244,2.28164,1.52567,0.0072,0.905,0.46634,0.24423,1.46382,3.49451,1.83962,0.000351788,0.000351788,0.000351788
21,1547.74,1.26721,2.10448,1.592,0.00764,0.91,0.51837,0.27571,1.39448,3.51887,1.80273,0.000365319,0.000365319,0.000365319
